Date,Type,BankAccount,ContactName,Reference,Total,AccountCode,AccountName,Description,LineAmount,TaxType,Status,BankTransactionID
"2017-01-13","RECEIVE","ULearn Limited Current account","ULearn-Student","","386.96","100","","Course","386.96","INPUT","AUTHORISED","9377c457-f7b7-4a05-8507-3312c13b0d8c"
"2017-01-09","SPEND","ULearn Limited Current account","Fresh","","3","B102","","Coffee","3","INPUT","AUTHORISED","8a8e744c-c18b-482b-86eb-3b7a7a6b9089"
"2017-01-12","SPEND","ULearn Limited Current account","Google - CARD","POS10JAN GOOGLE *Stra","7.99","B106","","Google Android App School Phone","7.99","INPUT","AUTHORISED","136ca127-f2a1-4004-a3a4-6b90aac2ca3d"
"2017-01-12","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2377216   GP","1055.56","100","","Valitor Merch A/C","1055.56","OUTPUT","AUTHORISED","de6f0aa9-345d-4097-a760-a30e2bdc7e7f"
"2017-01-12","RECEIVE","ULearn Limited Current account","ULearn-Student","","504","100","","Course Fees","504","OUTPUT","AUTHORISED","d8d351f8-d625-430e-9d7c-77a7e6fd528a"
"2017-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","3246","100","","Course Fees ","3246","OUTPUT","AUTHORISED","bac9552c-cc19-4a73-8af1-c70250875cf7"
"2017-01-09","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 5435","1500","100","","Cash Drop","1500","NONE","AUTHORISED","f911c2aa-0dda-4066-892d-4f0d374a554b"
"2017-01-10","SPEND","ULearn Limited Current account","Coinbase","","499.15","550","","Bitcoin Invest","499.15","NONE","AUTHORISED","8c00aca9-6d3d-4fdd-a14c-1113a7a62b3e"
"2017-01-10","SPEND","ULearn Limited Current account","Entertainment (Bars / Cinemas etc.)","","50","A104","","Cinema Tickets","50","INPUT","AUTHORISED","9af8d15e-0fd9-407d-acdc-a75e22b27031"
"2017-01-09","RECEIVE","ULearn Limited Current account","ULearn-Student","","4861","100","","Fees","4861","OUTPUT","AUTHORISED","c1e9e720-1281-4e1c-b187-72303dd18df2"
"2017-01-18","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2394857   GP","4923.8","100","","Valitor Merch A/C","4923.8","OUTPUT","AUTHORISED","fcf0a5e1-1e49-46e0-9806-ef339616088d"
"2017-01-17","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2390158   GP","1102.61","100","","Valitor Merch A/C","1102.61","OUTPUT","AUTHORISED","e0354d87-4051-4de8-89b3-1a029542cd4a"
"2017-01-16","SPEND","ULearn Limited Current account","BOI","EFT DD CHARGES","2.08","B127","","Bank Charges","2.08","INPUT","AUTHORISED","add03a06-abcf-4de1-b337-2ac954ed5acd"
"2017-01-16","SPEND","ULearn Limited Current account","BOI","EFT DD CHARGES","2.24","B127","","Bank Charges","2.24","INPUT","AUTHORISED","7e5f5fe7-86a6-4e08-a631-092b5960fe11"
"2017-01-16","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2385675   GP","2060.95","100","","Valitor Merch A/C","2060.95","OUTPUT","AUTHORISED","53f4a44e-8339-4980-831b-4429e3de3891"
"2017-01-06","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2353172   GP","808.11","100","","Valitor Merch A/C","808.11","OUTPUT","AUTHORISED","14c11e02-09c9-474b-85d3-c4bbd5c07967"
"2017-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","Valitor M2341296   GP","754.66","100","","Valitor Merch A/C","754.66","OUTPUT","AUTHORISED","45a6adcc-6558-4e10-9401-0882704a89e0"
"2017-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","764.47","100","","Course Payments","764.47","OUTPUT","AUTHORISED","fca2f9b5-02f4-4488-8916-7997f162aa21"
