Date,Type,BankAccount,ContactName,Reference,Total,AccountCode,AccountName,Description,LineAmount,TaxType,Status,BankTransactionID
"2018-01-02","SPEND-TRANSFER","ULearn Limited Current account","","","3810.72","ACC1","","Bank Transfer to ULearn Term Loan.","-3810.72","","AUTHORISED","9fc89f10-a02f-4426-9ee7-f777a517bf92"
"2018-01-02","SPEND","ULearn Limited Current account","First Data","","45.39","B127","","Gateway charges","45.39","NONE","AUTHORISED","1196908b-e102-49e3-b226-731523e5a8ff"
"2018-01-02","SPEND","ULearn Limited Current account","Payment Sense","","71.04","B127","","Gateway Charges","71.04","NONE","AUTHORISED","65d4ea8c-197e-42d9-9888-47e6d53d5882"
"2018-01-17","SPEND","ULearn Limited Current account","Danilova Olga Vladimirovna","","17.5","B127","","Bank charges","17.5","NONE","AUTHORISED","17c3b357-dd31-418e-bc80-0c649436a3cc"
"2018-01-17","RECEIVE","ULearn Limited Current account","BiG SMOKE BIG SMOK","","700","102","","They were Renting a classroom from us","700","NONE","AUTHORISED","a78ec705-e2b1-4aa6-a593-2462515f81ce"
"2018-01-15","SPEND","ULearn Limited Current account","Paul Gill","TO PAUL GILL","400","B107","","DOS Salary","400","NONE","AUTHORISED","4f871a7e-3591-4fde-a6e1-000abce05a6e"
"2018-01-16","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2018-01-16","9734.4","100","","Ulearn Student","9734.4","NONE","AUTHORISED","423021df-3a0e-4d96-bdfc-e45735d58f5e"
"2018-01-25","SPEND","ULearn Limited Current account","Barbara Silveira","","700","B107","","January pay","700","NONE","AUTHORISED","fc856374-f885-4355-b657-b15e0f79f9dd"
"2018-01-25","SPEND","ULearn Limited Current account","REVENUE COMMISSIONERS","R370109-Dec","35268.75","F101","","P30 Declaration ","35268.75","NONE","AUTHORISED","2a076b3b-4734-48c8-a513-e0e54008692d"
"2018-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","2055","100","","Cash Drop","2055","NONE","AUTHORISED","7bb0b76f-01c9-4a9c-83f2-cf9255604c0b"
"2018-01-25","SPEND","ULearn Limited Current account","PAYROLL","CONTRA            CTO","22184.45","E104B","","Payroll Bulk ","22184.45","NONE","AUTHORISED","6c841747-e90f-45e9-981b-0ea21b97e33b"
"2018-01-25","SPEND","ULearn Limited Current account","PAYROLL","CONTRA            CTO","16075.35","E104B","","Payroll Bulk ","16075.35","NONE","AUTHORISED","7ccd48fa-d5ae-434d-adcb-86229bb72610"
"2018-01-26","SPEND","ULearn Limited Current account","Payment Sense","","35.73","B127","","Gateway Charges","35.73","NONE","AUTHORISED","8945da58-f0ca-43a3-8a30-9cb23097d086"
"2018-01-29","RECEIVE","ULearn Limited Current account","BiG SMOKE BIG SMOK","","700","102","","They are Renting a classroom from us","700","NONE","AUTHORISED","de4104e6-47c3-4624-a6b1-b95c7072f4ec"
"2018-01-29","SPEND","ULearn Limited Current account","Ablogg, LLC","","17.5","B127","","Bank charges","17.5","NONE","AUTHORISED","5962c804-177d-44c4-8b34-14f39f51d384"
"2018-01-29","SPEND","ULearn Limited Current account","BOI BOL","BOI BOL CHARGE","10","B127","","Banking Online","10","NONE","AUTHORISED","a63c3ae3-fd53-4136-bb17-da24b42c3b0d"
"2018-02-01","SPEND","ULearn Limited Current account","First Data","","45.39","B127","","Gateway charges","45.39","NONE","AUTHORISED","a31ef492-d920-4501-b54a-fe852a31af87"
"2018-01-30","SPEND-TRANSFER","ULearn Limited Current account","","","3810.72","ACC1","","Bank Transfer to ULearn Term Loan.","-3810.72","","AUTHORISED","72f424fa-f84d-4e08-9215-c085efa7dfbc"
"2018-01-31","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","1545","100","","Cash Drop","1545","NONE","AUTHORISED","f19195fb-6a92-4574-925c-e1b2884ea918"
"2018-01-19","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS362959945","515","100","","Ulearn - Student","515","NONE","AUTHORISED","116903ec-6173-48d0-b21a-632f096a6c5f"
"2018-01-29","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2018-01-29","5400","100","","Ulearn Student","5400","NONE","AUTHORISED","92116822-6d07-4570-b875-dadf36fd64a7"
"2018-02-07","SPEND","ULearn Limited Current account","BOI","","0.36","B127","","Bank Charges Gov Duty","0.36","NONE","AUTHORISED","3a0ee965-5e6f-4c7f-b826-3afeb758f4b9"
"2018-02-06","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","6815","100","","Cash Drop","6815","NONE","AUTHORISED","a6572327-fb8f-4b8f-89be-8373d81c6727"
"2018-02-06","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2018-02-06","754","100","","Ulearn Student","754","NONE","AUTHORISED","00c8aa4a-0491-4f58-a4bf-9b7c3bb26a09"
"2018-02-12","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","1310","100","","Cash Drop","1310","NONE","AUTHORISED","b1ba4a0e-6fd6-4db3-ab72-208c1d23bff2"
"2018-02-14","SPEND","ULearn Limited Current account","APEX International Education Centre","","17.5","B127","","Bank fees","17.5","NONE","AUTHORISED","886627d5-6e01-4d41-92ed-8ac3b2ce2e20"
"2018-02-16","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","765","100","","Cash Drop","765","NONE","AUTHORISED","1459ad36-eabd-4730-b27a-cb2b3b652fad"
"2018-02-14","RECEIVE","ULearn Limited Current account","ULearn-Student","LATM CR 900113 0845","3519","100","","Cash Drop","3519","NONE","AUTHORISED","d583afa2-4ade-4506-be44-192d1bf091e4"
"2018-02-14","SPEND-TRANSFER","ULearn Limited Current account","","","75","ACC1","","Bank Transfer to Credit Card - Neil.","-75","","DELETED","0d235009-2d43-4885-830b-6f49d5276280"
"2018-02-02","SPEND-TRANSFER","Credit Card - Neil","","","31","AC-CC-NM","","Bank Transfer to Credit Card - Ciaran.","-31","","DELETED","4d882169-fbc1-428c-9f62-080eaba52fc6"
