Date,Type,BankAccount,ContactName,Reference,Total,AccountCode,AccountName,Description,LineAmount,TaxType,Status,BankTransactionID
"2025-01-02","RECEIVE","ULearn Limited Current account","ULearn-Student","","781.25","101","","WAACC Rent         SP","781.25","NONE","AUTHORISED","f955b1fc-9908-4fef-8063-2e57e956e1ad"
"2025-01-02","RECEIVE","ULearn Limited Current account","ULearn-Student","","160.98","100","","STRIPE-SO8HOPP1PTR","160.98","NONE","AUTHORISED","d32c8e5f-6b5b-4e1c-84ab-fec33eaa2651"
"2025-01-02","SPEND","ULearn Limited Current account","CARD - Google","545","237.64","B106","","Google Apps Bus","237.64","INPUT","AUTHORISED","2faeec76-1166-49c1-9601-f926a5fb080c"
"2025-01-02","SPEND","ULearn Limited Current account","Bank Charges","","0.61","B127","","","0.61","NONE","AUTHORISED","680c1d01-0a30-4c24-9b73-89eddec44d2d"
"2025-01-02","SPEND","ULearn Limited Current account","Bank Charges","","1.13","B127","","NEPOSCHGUSD 000001.14","1.13","NONE","AUTHORISED","e638fee0-7b2a-4a37-a188-3f244248495e"
"2025-01-02","SPEND","ULearn Limited Current account","Google","","273.76","B110","","POS25SEP GOOGLE *ADS1","273.76","NONE","AUTHORISED","9ec05391-c159-4aea-b0b4-a7b7623b66e8"
"2025-01-02","SPEND","ULearn Limited Current account","Bank Charges","","0.28","B127","","NEPOSCHGMXN 000000.91","0.28","NONE","AUTHORISED","ab56f867-7052-418f-a35f-f9354ae26884"
"2025-01-02","SPEND","ULearn Limited Current account","FBD INSURANCE SEPA DD","","272.99","B120","","FBD INSURANCE SEPA DD","272.99","NONE","AUTHORISED","d64aab24-7c3e-451f-a4b3-1552d95cefa1"
"2025-01-02","SPEND","ULearn Limited Current account","Westwood","","89","BIK","","WESTWOOD DUN  SEPA DD","89","NONE","AUTHORISED","d9273752-fdfa-42f0-a3f4-436998d0e8a7"
"2025-01-02","SPEND","ULearn Limited Current account","Westwood","","89","BIK","","WESTWOOD DUN  SEPA DD","89","NONE","AUTHORISED","6aab9ff4-c363-4033-9ca8-e6bccff5aa3e"
