Date,Type,BankAccount,ContactName,Reference,Total,AccountCode,AccountName,Description,LineAmount,TaxType,Status,BankTransactionID
"2020-01-02","SPEND","ULearn Limited Current account","CARD - Google","POS31DEC GOOGLE *ADS1","500","B110","","Google Adwords","500","INPUT","AUTHORISED","8f0195ad-216d-48aa-bf82-20c16e0af7ee"
"2020-01-02","SPEND","ULearn Limited Current account","First Data","","45.39","B127","","Gateway charges","45.39","NONE","AUTHORISED","1f7b9957-a81b-467b-b37f-58cdc98e8699"
"2020-01-02","SPEND","ULearn Limited Current account","New Ireland","OP/NewIreland SEPA DD","185","B119","","Life Assurance","185","NONE","AUTHORISED","ee09567a-67cc-405f-a149-c6626de808fa"
"2020-01-03","RECEIVE","ULearn Limited Current account","BiG SMOKE BIG SMOK","","700","102","","They are renting a classroom from us","700","NONE","AUTHORISED","00c239d8-651d-4c56-93e0-4a9fac6e1226"
"2020-01-03","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 03      GP","3655","100","","Revenue","3655","NONE","AUTHORISED","73aa519f-08dd-4db8-827b-a4e22ad5fba4"
"2020-01-12","SPEND","ULearn Limited Current account","Zoho","8000089311222","43.05","B106","","Zoho Recruit","43.05","NONE","AUTHORISED","09268f19-890d-45b7-94e4-0f69e0f8c772"
"2020-01-12","SPEND","ULearn Limited Current account","Zoho","9436375","3.57","B106","","Service: Zoho People","3.57","NONE","AUTHORISED","aa79cad3-66e4-4927-b28d-6cbfd36b52e4"
"2020-01-13","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 13      GP","3231.25","100","","Revenue","3231.25","NONE","AUTHORISED","31b315d8-a0d2-4f7b-8b93-240a48b528d6"
"2020-01-08","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 08      GP","380","100","","Revenue","380","NONE","AUTHORISED","8e7c8eba-fa0d-4bad-b4a2-59d60f011e4b"
"2020-01-07","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 07      GP","450","100","","Revenue","450","NONE","AUTHORISED","a48b600f-4f29-4df6-a917-2d356d781a99"
"2020-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 10      GP","2755","100","","Revenue","2755","NONE","AUTHORISED","573ed053-8945-4b81-944f-8f7128db1285"
"2020-01-06","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 06      GP","3845","100","","Revenue","3845","NONE","AUTHORISED","2411b8d2-c730-44f5-a313-d95baf3274e4"
"2020-01-15","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 15      GP","5810","100","","Revenue","5810","NONE","AUTHORISED","642c54b4-195b-45bc-bb01-9a39e7e9cadc"
"2020-01-09","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 09      GP","9865.55","100","","Revenue","9865.55","NONE","AUTHORISED","f662c6f1-2d18-4f19-9985-cac76e7a871d"
"2020-01-06","RECEIVE","ULearn Limited Current account","ULearn-Student","GABRIELA SCOLARI","1312.25","100","","","1312.25","NONE","AUTHORISED","3f6499b2-9265-44bb-b13d-83b01c9029a5"
"2020-01-09","RECEIVE","ULearn Limited Current account","ULearn-Student","MUNKHZAYA DASHZEVE GP","5204","100","","","5204","NONE","AUTHORISED","82eb9782-d428-4a1e-b65e-90659fc21dea"
"2020-01-06","SPEND","ULearn Limited Current account","Pier Insurance","Pier Insuranc SEPA DD","7.49","B120","","Bus Mobile Ph Insurance","7.49","NONE","AUTHORISED","d9e1a551-7fd5-49bb-8491-dd5715dd1fdc"
"2020-01-07","SPEND","ULearn Limited Current account","CARD - Google","POS06JAN GOOGLE*ADS10","500","B110","","Google Adwords","500","INPUT","AUTHORISED","43d342d1-bd10-4023-9db7-223302a09d07"
"2020-01-07","SPEND","ULearn Limited Current account","Bank Charges","NEPOSCHGUSD 000000.88","0.88","B127","","Bank fee for a transaction in foreign currency.","0.88","NONE","AUTHORISED","333903ae-9f95-4b4c-8b2a-db82c270ebc7"
"2020-01-07","SPEND","ULearn Limited Current account","Bank Charges","NEPOSCHGUSD 000000.36","0.36","B127","","Bank fee for a transaction in foreign currency.","0.36","NONE","AUTHORISED","3c12c607-e6b8-4451-97cc-6009cec691b2"
"2020-01-13","SPEND","ULearn Limited Current account","CARD - Google","POS12JAN GOOGLE *ADS1","500","B110","","Google Adwords","500","INPUT","AUTHORISED","3d63b10b-ed70-44f8-b362-f8e3a31d9efc"
"2020-01-14","SPEND","ULearn Limited Current account","SOFTWARE","POS13JAN Adobe.com","30.74","B106","","Software / Hosting","30.74","INPUT","AUTHORISED","7d41e9f6-57ba-47e7-996c-d64c8d082bad"
"2020-01-11","SPEND","ULearn Limited Current account","Zoho","2000089201420","7.38","B106","","Zoho People NonUser Upgrade#2","7.38","NONE","AUTHORISED","a068f242-0876-4337-b0de-07acec64f655"
"2020-01-11","SPEND","ULearn Limited Current account","Zoho","2000089199910","7.38","B106","","Zoho People NonUser Upgrade","7.38","NONE","AUTHORISED","c41e8ca1-0cba-4251-98aa-51326c428f43"
"2020-01-11","SPEND","ULearn Limited Current account","Zoho","2000089199522","18.45","B106","","Zoho People 1 Mth 5 Users","18.45","NONE","AUTHORISED","18b8e591-95b1-4ed5-96ec-ed5445d8292a"
"2020-01-13","SPEND","ULearn Limited Current account","Zoho","","3.57","B106","","Service: Zoho People","3.57","NONE","AUTHORISED","658b4ba9-9dd2-43b1-9c80-dedc3ced1821"
"2020-01-13","SPEND","ULearn Limited Current account","Cyclone Couriers","","10.5","B130","","Delivery to MEI","10.5","NONE","AUTHORISED","eb13f127-ed02-4506-96d0-a9504dc79b22"
"2020-01-14","SPEND","ULearn Limited Current account","GoDaddy.com, LLC - CARD","","123.42","B106","","Ulearn","123.42","NONE","AUTHORISED","66d90f66-6af2-4ebf-80a1-893dd7445b83"
"2020-01-13","SPEND","ULearn Limited Current account","PREPAYPOWER","","70","B105A","","Elec","70","NONE","AUTHORISED","5f4aacd2-341f-4945-8e2b-90471647160a"
"2020-01-09","RECEIVE","ULearn Limited Current account","ULearn-Student","ATM8022 / 23","4500","100","","Cash Lodgement ","4500","NONE","AUTHORISED","fda3df6f-6d24-4f17-9204-bec0c5ca7dc7"
"2020-01-07","SPEND","ULearn Limited Current account","zapier","","17.93","B106","","zaps","17.93","NONE","AUTHORISED","709f2282-7499-439e-9880-67081fc5a2a8"
"2020-01-06","SPEND","ULearn Limited Current account","Noel Hancock","","55","A104","","Noel Hancock","55","NONE","AUTHORISED","da2b74a0-cc3f-4d13-9d20-2a3f4a766119"
"2020-01-06","SPEND","ULearn Limited Current account","Noel Hancock","","10","A104","","student arrivals","10","NONE","AUTHORISED","30cea288-0e44-4153-b509-c6391495774b"
"2020-01-06","SPEND","ULearn Limited Current account","Virgin Media","","117","B104A","","Monthly bill - 32 Capel Street","117","NONE","AUTHORISED","002bd6c9-c1a9-4042-953c-6d3d80124769"
"2020-01-06","SPEND","ULearn Limited Current account","One4all","7000218267","250","B115C","","Bonuses - Gift Cards","250","NONE","AUTHORISED","e846b8c1-5a0a-4fe1-ae7b-ec6694675ba5"
"2020-01-10","SPEND","ULearn Limited Current account","Noel Hancock","","155","A104","","Student transport","155","NONE","AUTHORISED","c7390a0d-39bf-4873-b7ef-c814086deba1"
"2020-01-14","SPEND","ULearn Limited Current account","Argos","","96.66","B102","","Fan Heater","96.66","NONE","AUTHORISED","3cafecaa-be65-4f2d-8c9e-a0b525c09436"
"2020-01-16","RECEIVE","ULearn Limited Current account","ULearn-Student","ULS2020 01 16 GP","3550","100","","Revenue","3550","NONE","AUTHORISED","5e63b1b7-767c-4e93-9c5a-381b3a9c9f9a"
"2020-01-07","SPEND","ULearn Limited Current account","Fresh","","40.7","A109","","ULearn Social","40.7","NONE","AUTHORISED","9d25d3ec-8028-43d4-8336-37a39b01f361"
"2020-01-16","SPEND","ULearn Limited Current account","Viking Direct - CARD","132749","49.86","B116","","Office supplies","49.86","NONE","AUTHORISED","51754be4-9455-4a8a-b4e4-e2a6f942d32d"
"2020-01-17","SPEND","ULearn Limited Current account","Spotify","POS15JAN PAYPAL *SPOT","9.99","A108","","School Spotify Sub","9.99","INPUT","AUTHORISED","70845f65-22d9-429e-9e05-af1c956a34d3"
