Date,Type,BankAccount,ContactName,Reference,Total,AccountCode,AccountName,Description,LineAmount,TaxType,Status,BankTransactionID
"2022-01-02","SPEND","ULearn Limited Current account","FREE NOW","5YGK2U","27.3","A104","","Student transport","27.3","NONE","AUTHORISED","897f63fd-8d07-4aff-9477-53983232381c"
"2022-01-04","RECEIVE","ULearn Limited Current account","WAACC","","6250","101","","WAACC 13 SP","6250","NONE","AUTHORISED","e9b1f7e0-19b9-4471-893c-3dc903b7ac5c"
"2022-01-04","SPEND","ULearn Limited Current account","Bank Charges","","0.11","B127","","NEPOSCHGUSD 000000.11","0.11","NONE","AUTHORISED","2f9a1bc7-e715-49cf-bfd0-955ea8c9e0dd"
"2022-01-05","SPEND","ULearn Limited Current account","Bank Charges","","0.53","B127","","NEPOSCHGUSD 000000.53","0.53","NONE","AUTHORISED","a742f856-bf7e-4031-a6c5-ccde68d45d7a"
"2022-01-05","RECEIVE","ULearn Limited Current account","ULearn-Student","","4261","100","","23514 SP","4261","NONE","AUTHORISED","4af51527-d5cf-45e9-8024-e8ed3303dd9a"
"2022-01-07","RECEIVE","ULearn Limited Current account","WAACC","","1","101","","WAACC 13 SP","1","NONE","AUTHORISED","873851bf-4939-47cd-9d2c-e227bba11d69"
"2022-01-10","SPEND","ULearn Limited Current account","Bank Charges","","0.19","B127","","NEPOSCHGGBP 000000.19","0.19","NONE","AUTHORISED","bcceae3a-c3ae-426f-9aa7-dbf7c24fd7c2"
"2022-01-17","SPEND","ULearn Limited Current account","Bank Charges","","0.8","B127","","EFT DD CHARGES","0.8","NONE","AUTHORISED","790494dc-cebb-4d03-825c-5be28ebdc43c"
"2022-01-17","SPEND","ULearn Limited Current account","Bank Charges","","0.32","B127","","EFT DD CHARGES","0.32","NONE","AUTHORISED","ed7307e5-69a8-45e6-991e-8985ff00bbce"
"2022-01-17","SPEND","ULearn Limited Current account","Bank Charges","","0.4","B127","","EFT DD CHARGES","0.4","NONE","AUTHORISED","1988d7fa-4f43-4280-abb5-6a5cf9cf7fb4"
"2022-01-17","SPEND","ULearn Limited Current account","Bank Charges","","0.23","B127","","NEPOSCHGUSD 000000.23","0.23","NONE","AUTHORISED","95677a50-e122-415a-912b-896199d3e800"
"2022-01-21","SPEND","ULearn Limited Current account","Bank Charges","","0.25","B127","","NEPOSCHGUSD 000000.25","0.25","NONE","AUTHORISED","d5c71bd1-dfaf-411b-918e-8b9ea0e53ed9"
"2022-01-21","SPEND","ULearn Limited Current account","Zopim - CARD","","12.39","B106","","Chat Basic Subscription
01/20/2022-02/19/2022
Month ","12.39","NONE","AUTHORISED","7ccaa267-a86a-4c2a-bbc4-9ef9922d52a8"
"2022-01-25","RECEIVE","ULearn Limited Current account","Apartment Capel","","3226.39","101","","32 Capel SP","3226.39","NONE","AUTHORISED","743ee837-e428-4e19-8c81-85a2ee55e3fe"
"2022-01-26","SPEND","ULearn Limited Current account","Bank Charges","","0.53","B127","","NEPOSCHGUSD 000000.53","0.53","NONE","AUTHORISED","78b05c24-fd70-467f-9460-c54284ac517d"
"2022-01-28","SPEND","ULearn Limited Current account","Bank Charges","","10","B127","","BOI BOL CHARGE","10","NONE","AUTHORISED","de35f185-e6b6-4cd2-9cd0-f7a654a53ef6"
"2022-01-28","SPEND","ULearn Limited Current account","PAYROLL","","5209.24","E104B","","Payroll","5209.24","NONE","AUTHORISED","bf9e510b-66bc-4679-9c32-87ccb9464537"
"2022-01-31","SPEND","ULearn Limited Current account","PAYROLL","","2250","E104B","","TO PAUL GILL","2250","NONE","AUTHORISED","5f126daa-4ec8-47ba-af20-47ca8cd19dfe"
"2022-01-31","SPEND","ULearn Limited Current account","PAYROLL","","2250","E104B","","TO NEIL MC MAHON","2250","NONE","AUTHORISED","2b5c7dff-d6e6-41d1-ba32-a5bfb4877dff"
"2022-01-31","SPEND","ULearn Limited Current account","PAYROLL","","2250","E104B","","TO DIANA GUTIERREZ MA","2250","NONE","AUTHORISED","a6cc9f97-85c1-4dac-aed3-423c8f43d69d"
"2022-01-31","RECEIVE","ULearn Limited Current account","Google - CARD","","56.43","B110","","Google Ads","56.43","NONE","AUTHORISED","72f3829d-c171-4b35-926a-3886afdfc2a0"
"2022-01-24","RECEIVE","ULearn Limited Current account","ULearn-Student","","67","100","","Virement depuis Ma SP","67","NONE","AUTHORISED","7ee7d6f9-6f83-4b59-9faf-10fa0d16951a"
"2022-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","180","100","","STUDENT ID 23724ST SP","180","NONE","AUTHORISED","81431c3d-88f3-40ca-a3c4-9ed49ac214aa"
"2022-01-17","RECEIVE","ULearn Limited Current account","ULearn-Student","","180","100","","Virement depuis Ma SP","180","NONE","AUTHORISED","179975b6-abdb-4925-97bd-9df710cd27e8"
"2022-01-20","RECEIVE","ULearn Limited Current account","ULearn-Student","","374","100","","MORNING GENERAL PL SP","374","NONE","AUTHORISED","1d6cde3e-f05f-4fc8-8035-01cfdaf425f4"
"2022-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","560","100","","RGLT F342 SP","560","NONE","AUTHORISED","2f97d975-1f59-4bac-927a-415a15767875"
"2022-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","725","100","","D2021006STUDENT ID SP","725","NONE","AUTHORISED","3507cc19-4549-4767-bfc8-f1f7f6e0c7f1"
"2022-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","954","100","","VIREMENT VERS ULEA SP","954","NONE","AUTHORISED","796ca8e2-3dc0-4ad3-85ad-b7e3d79b4001"
"2022-01-07","RECEIVE","ULearn Limited Current account","ULearn-Student","","1000","100","","VIREMENT VERS ULEA SP","1000","NONE","AUTHORISED","955c943e-5be3-4dcd-b403-2402457d11bd"
"2022-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","1000","100","","VIREMENT VERS ULEA SP","1000","NONE","AUTHORISED","180f74b1-2b9e-4305-b08a-e06c100a2cb3"
"2022-01-20","RECEIVE","ULearn Limited Current account","ULearn-Student","","1150","100","","STUDENT CASSANDRE SP","1150","NONE","AUTHORISED","01541eed-d176-4dc5-80be-7bf6084ef720"
"2022-01-10","RECEIVE","ULearn Limited Current account","ULearn-Student","","1160","100","","D2022012 JOSE CARL SP","1160","NONE","AUTHORISED","a37f9216-1621-4880-91d2-31b7f0f3a6a2"
"2022-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","","1190","100","","P2021122 - Student SP","1190","NONE","AUTHORISED","8c29eda7-9757-4da0-b42a-7c76497093b1"
"2022-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","1310","100","","BLUE CONSULTORIA E GP","1310","NONE","AUTHORISED","612e8ea4-24bb-4613-8a41-ce5c30473d3d"
"2022-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","1310","100","","BLUE CONSULTORIA E GP","1310","NONE","AUTHORISED","52925ea4-002e-407a-bf53-7745dc1b51c0"
"2022-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","1310","100","","BLUE CONSULTORIA E GP","1310","NONE","AUTHORISED","f0d0c09b-66fb-4306-8d85-8e33aa3b908a"
"2022-01-25","RECEIVE","ULearn Limited Current account","ULearn-Student","","1310","100","","BLUE CONSULTORIA E GP","1310","NONE","AUTHORISED","41f81658-5c47-48f8-8199-325d974e4a7b"
"2022-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","","2000","100","","P2021122 - Student SP","2000","NONE","AUTHORISED","76a3c67b-2e77-4f42-8015-0c09500864be"
"2022-01-11","RECEIVE","ULearn Limited Current account","ULearn-Student","","2260","100","","MIGUEL BAGAN. 2368 SP","2260","NONE","AUTHORISED","e1923543-14f2-4b3f-aea7-fc80ac621e27"
"2022-01-18","RECEIVE","ULearn Limited Current account","ULearn-Student","","2511.25","100","","Payment for RASIT SP","2511.25","NONE","AUTHORISED","a4a6bbd3-8a1f-4f95-9416-d2febd427e1a"
"2022-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","","2850","100","","PAIMENT OF THE COU SP","2850","NONE","AUTHORISED","fcba11b1-ce68-471d-9fbf-8900df742052"
"2022-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","","3900","100","","BATAA DEMBEREL GP","3900","NONE","AUTHORISED","3cf97035-c19e-4539-8aca-d63f706a069e"
"2022-01-05","RECEIVE","ULearn Limited Current account","ULearn-Student","","4805","100","","ST ID 22050 (ELISA SP","4805","NONE","AUTHORISED","ff70976d-f67a-47d4-89ae-b9a873eb3c40"
"2022-01-05","RECEIVE","ULearn Limited Current account","ULearn-Student","","5635","100","","Invoice number P20 SP","5635","NONE","AUTHORISED","227e5c1b-1232-4487-b9ec-2090ddbec00c"
"2022-01-17","RECEIVE","ULearn Limited Current account","ULearn-Student","","5928.4","100","","Invoice number: P2 SP","5928.4","NONE","AUTHORISED","d344b681-fb92-46c7-b29b-f1bf58d71c9f"
"2022-01-06","RECEIVE","ULearn Limited Current account","ULearn-Student","","8789","100","","23691 Camille Alle SP","8789","NONE","AUTHORISED","4b38ed6b-442a-4c71-95d1-5492218563d7"
"2022-01-04","RECEIVE","ULearn Limited Current account","ULearn-Student","","22855.5","100","","23692 Dalbin - 236 SP","22855.5","NONE","AUTHORISED","616c6181-fd64-405f-bb02-b7fbbfcfaf91"
"2022-01-04","SPEND","ULearn Limited Current account","AirBnB","","1047.94","A100","","POS03JAN AIRBNB * HM8","1047.94","NONE","AUTHORISED","32fa5e98-0965-4253-8185-622a3027fdd1"
"2022-01-04","RECEIVE","ULearn Limited Current account","Blackhall Green - Apartment","","3200","101","","RENT JANUARY SP","3200","NONE","AUTHORISED","40734ed2-ed7e-42db-8de3-74178ca0d825"
"2022-01-04","SPEND","ULearn Limited Current account","SOFTWARE","","5.44","B106","","P0101US 6.15@0.88455","5.44","NONE","AUTHORISED","7d63caff-b9d0-437a-a8d0-f363b805df1e"
"2022-01-05","SPEND","ULearn Limited Current account","TradingView","","26.57","B106","","P0401US 29.95@0.88714","26.57","NONE","AUTHORISED","c8067bf6-0c55-4bea-a8cd-e00aeff18726"
"2022-01-06","SPEND","ULearn Limited Current account","Randox Laboratories","","59","B102","","POS05JAN RANDOX TEORA","59","NONE","AUTHORISED","407c47c3-4a2e-4157-8ac1-7179630eaf6f"
"2022-01-10","SPEND","ULearn Limited Current account","Audible - CARD","","9.58","B121","","P0801GB 7.99@1.19899","9.58","NONE","AUTHORISED","9e7a637a-3b30-4bd6-8843-4a27594d8f37"
"2022-01-10","SPEND","ULearn Limited Current account","Skype","","8","B106","","POS04JAN GO.SKYPE.COM","8","NONE","AUTHORISED","6bb3d5a6-9a2d-4a70-9adb-49cf72ff1f2f"
"2022-01-11","SPEND","ULearn Limited Current account","Company Bureau","","50.43","B102","","POS10JAN COMPANY BURE","50.43","NONE","AUTHORISED","c6d39003-3cc3-4a51-9503-c5e7e8db100a"
"2022-01-11","SPEND","ULearn Limited Current account","Vodafone","","49.2","B104","","POS10JAN VODAFONE AT","49.2","NONE","AUTHORISED","80a2df08-f62d-4044-97de-c4901862aa52"
"2022-01-12","SPEND","ULearn Limited Current account","Zoho","","23.37","B106","","POS12JAN ZOHO-PEOPLE","23.37","NONE","AUTHORISED","b9e31b61-4458-4360-a149-4771492899c3"
"2022-01-12","SPEND","ULearn Limited Current account","MEI LTD","","2","B122","","POS11JAN MEI GARDA VE","2","NONE","AUTHORISED","fb65810c-86fc-4486-8dd5-09c1e891d214"
"2022-01-12","SPEND","ULearn Limited Current account","Noel Hancock","","265","A104","","POS11JAN PAYPAL *NOEL","265","NONE","AUTHORISED","6d65c101-b54f-400c-81d5-1334feadfc4a"
"2022-01-13","SPEND","ULearn Limited Current account","Centra","","19.95","B102","","POSC12JAN CENTRA DAME","19.95","NONE","AUTHORISED","73bdff39-126b-47c6-a6a6-a378d981dc87"
"2022-01-14","SPEND","ULearn Limited Current account","GoDaddy.com, LLC - CARD","","110.55","B106","","POS13JAN DNH*GODADDY.","110.55","NONE","AUTHORISED","8d07bff7-8a79-4d5e-a6cf-255f614cf25d"
"2022-01-17","SPEND","ULearn Limited Current account","PAYPAL EUROPE","","30","B102","","POS16JAN PAYPAL *CYAT","30","NONE","AUTHORISED","d8ef3618-4bc4-49bb-a332-171465335739"
"2022-01-17","SPEND","ULearn Limited Current account","Vodafone","","20","B104","","POS15JAN VESTA *VODA","20","NONE","AUTHORISED","70fd848c-cf08-44d6-98f6-48ad622278e0"
"2022-01-17","SPEND","ULearn Limited Current account","GoDaddy.com, LLC - CARD","","11.06","B106","","POS16JAN DNH*GODADDY.","11.06","NONE","AUTHORISED","d7251f81-6957-4a63-94af-55c1652947a4"
"2022-01-17","SPEND","ULearn Limited Current account","TradingView","","11.36","B106","","P1501GI 12.95@0.87722","11.36","NONE","AUTHORISED","24330235-2b42-4ee5-abc6-f91c1703b560"
"2022-01-18","SPEND","ULearn Limited Current account","Bank Charges","","0.61","B127","","NEPOSCHGUSD 000000.61","0.61","NONE","AUTHORISED","3855d509-4577-4246-bdb6-af2c235952cc"
"2022-01-17","SPEND","ULearn Limited Current account","Xero Subscription - CARD","IN-3283646","30.73","B106","","ULearn. Monthly Subscription, Standard Price Plan, 17 Dec 2021 to 16 Jan 2022.","30.73","NONE","AUTHORISED","b8de5523-c6b6-49d1-aada-c44e8ed83dc2"
"2022-01-17","SPEND","ULearn Limited Current account","Hughes & Liddy (Landlord from 11 Harcourt)","","5000","B100","","TO HUGHES LIDDY CLIE","5000","NONE","AUTHORISED","d3d256fe-7678-44be-aeb4-3dea29dfacba"
"2022-01-28","SPEND","ULearn Limited Current account","Hughes & Liddy (Landlord from 11 Harcourt)","","5000","B100","","TO HUGHES LIDDY CLIE","5000","NONE","AUTHORISED","4d4e8c88-8770-4d8d-b237-b384739ffe05"
"2022-01-24","SPEND","ULearn Limited Current account","Hughes & Liddy (Landlord from 11 Harcourt)","","5416.66","B100","","TO HUGHES LIDDY CLIE","5416.66","NONE","AUTHORISED","f98d7f9a-6341-49f5-9949-8d15d66355e9"
"2022-01-19","SPEND","ULearn Limited Current account","CARD - Google","","9.99","B110","","POS17JAN GOOGLE*GOOGL","9.99","NONE","AUTHORISED","7490320a-cd29-4488-b26f-4773e14a6696"
"2022-01-21","SPEND","ULearn Limited Current account","Dunnes Stores","","3.72","B102","","POS20JAN DUNNES GEORG","3.72","NONE","AUTHORISED","18129429-ad10-45b2-9286-3eb5cfefb9a6"
"2022-01-24","SPEND","ULearn Limited Current account","ADOBE","","30.74","B106","","POS21JAN Adobe.com","30.74","NONE","AUTHORISED","4f4765a0-c596-4348-a334-e9d58d8d47c2"
"2022-01-24","SPEND","ULearn Limited Current account","PAYPAL EUROPE","","6.44","B102","","POS23JAN PAYPAL *FLIC","6.44","NONE","AUTHORISED","672fa2b1-b95d-43d2-9ed7-d86f63de29b7"
"2022-01-26","SPEND","ULearn Limited Current account","Bank Charges","","0.36","B127","","GOVT DUTY ATM/POS0536","0.36","NONE","AUTHORISED","edc6143d-27d1-4cb9-968f-0f1a5974a02f"
"2022-01-26","SPEND","ULearn Limited Current account","Bank Charges","","0.6","B127","","GOVT DUTY ATM/POS8203","0.6","NONE","AUTHORISED","ad50c60f-c8da-4d8e-a0d2-1e5238f13022"
"2022-01-26","SPEND","ULearn Limited Current account","TradingView","","26.6","B106","","P2501US 29.95@0.88814","26.6","NONE","AUTHORISED","3c746e64-6a93-449d-bb2a-7b064a559bf4"
"2022-01-27","SPEND","ULearn Limited Current account","Storage Worl","","222.75","B102","","POS26JAN STORAGE WORL","222.75","NONE","AUTHORISED","0222bd7e-ef18-43c8-a92e-4733b603d67a"
"2022-02-01","RECEIVE","ULearn Limited Current account","ULearn-Student","","1292.5","100","","STUDENT ID 14956 - SP","1292.5","NONE","AUTHORISED","2b002b5f-5fa8-45f0-af0f-50abb6015822"
"2022-02-01","SPEND","ULearn Limited Current account","Hughes & Liddy (Landlord from 11 Harcourt)","","5416.66","B100","","TO HUGHES LIDDY CLIE","5416.66","NONE","AUTHORISED","bd619674-02b8-4f7f-bf4d-1d0cc7fb8226"
"2022-02-01","RECEIVE","ULearn Limited Current account","ULearn-Student","","532","100","","STUDENT ID 14956 - SP","532","NONE","AUTHORISED","ba31412e-d4a3-47c6-b7d7-8e1b360c96e9"
"2022-02-01","RECEIVE","ULearn Limited Current account","WAACC","","6250","101","","WAACC 13 SP","6250","NONE","AUTHORISED","319db871-d7c3-4c17-ab6a-5415a898c538"
